form;tense_in_paradigm;person;number;preverb;pre2;root;sf2;caus_sf;ending;tsch_class;morph_type;sub_id;id;vn
გამოჰბაჯბაჯებულიყონ;conj-perfect;3;pl;გა;მოჰ;ბაჯბაჯ;ებ;-;ულიყონ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულიყონ;conj-perfect;3;pl;გა;მო;ბაჯბაჯ;ებ;-;ულიყონ;MV;passive;123-10;123;*ბაჯბაჯებ
გავჰბაჯბაჯდები;future;1;sg;-;გავჰ;ბაჯბაჯ;-;-;დები;MV;passive;123-10;123;*ბარბაც
გავბაჯბაჯდები;future;1;sg;-;გავ;ბაჯბაჯ;-;-;დები;MV;passive;123-10;123;*ბარბაც
გამოვჰბაჯბაჯდები;future;1;sg;გამო;ვჰ;ბაჯბაჯ;-;-;დები;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯდები;future;1;sg;გამო;ვ;ბაჯბაჯ;-;-;დები;MV;passive;123-10;123;*ბარბაც
გაჰბაჯბაჯდები;future;2;sg;-;გაჰ;ბაჯბაჯ;-;-;დები;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდები;future;2;sg;-;გა;ბაჯბაჯ;-;-;დები;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდები;future;2;sg;გამო;ჰ;ბაჯბაჯ;-;-;დები;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდები;future;2;sg;გამო;-;ბაჯბაჯ;-;-;დები;MV;passive;123-10;123;*ბარბაც
გაჰბაჯბაჯდება;future;3;sg;-;გაჰ;ბაჯბაჯ;-;-;დება;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდება;future;3;sg;-;გა;ბაჯბაჯ;-;-;დება;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდება;future;3;sg;გამო;ჰ;ბაჯბაჯ;-;-;დება;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდება;future;3;sg;გამო;-;ბაჯბაჯ;-;-;დება;MV;passive;123-10;123;*ბარბაც
გავჰბაჯბაჯდებით;future;1;pl;-;გავჰ;ბაჯბაჯ;-;-;დებით;MV;passive;123-10;123;*ბარბაც
გავბაჯბაჯდებით;future;1;pl;-;გავ;ბაჯბაჯ;-;-;დებით;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვჰბაჯბაჯდებით;future;1;pl;გამო;ვჰ;ბაჯბაჯ;-;-;დებით;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯდებით;future;1;pl;გამო;ვ;ბაჯბაჯ;-;-;დებით;MV;passive;123-10;123;*ბარბაც
გაჰბაჯბაჯდებით;future;2;pl;-;გაჰ;ბაჯბაჯ;-;-;დებით;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდებით;future;2;pl;-;გა;ბაჯბაჯ;-;-;დებით;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდებით;future;2;pl;გამო;ჰ;ბაჯბაჯ;-;-;დებით;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდებით;future;2;pl;გამო;-;ბაჯბაჯ;-;-;დებით;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდებიან;future;3;pl;-;გაჰ;ბაჯბაჯ;-;-;დებიან;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდებიან;future;3;pl;-;გა;ბაჯბაჯ;-;-;დებიან;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდებიან;future;3;pl;გამო;ჰ;ბაჯბაჯ;-;-;დებიან;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდებიან;future;3;pl;გამო;-;ბაჯბაჯ;-;-;დებიან;MV;passive;123-10;123;*ბაჯბაჯებ
გავჰბაჯბაჯდი;aorist;1;sg;-;გავჰ;ბაჯბაჯ;-;-;დი;MV;passive;123-10;123;*ბარბაც
გავბაჯბაჯდი;aorist;1;sg;-;გავ;ბაჯბაჯ;-;-;დი;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვჰბაჯბაჯდი;aorist;1;sg;გამო;ვჰ;ბაჯბაჯ;-;-;დი;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯდი;aorist;1;sg;გამო;ვ;ბაჯბაჯ;-;-;დი;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდი;aorist;2;sg;-;გაჰ;ბაჯბაჯ;-;-;დი;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯდი;aorist;2;sg;-;გა;ბაჯბაჯ;-;-;დი;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯდი;aorist;2;sg;გამო;ჰ;ბაჯბაჯ;-;-;დი;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდი;aorist;2;sg;გამო;-;ბაჯბაჯ;-;-;დი;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდა;aorist;3;sg;-;გაჰ;ბაჯბაჯ;-;-;და;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდა;aorist;3;sg;-;გა;ბაჯბაჯ;-;-;და;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯდა;aorist;3;sg;გამო;ჰ;ბაჯბაჯ;-;-;და;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდა;aorist;3;sg;გამო;-;ბაჯბაჯ;-;-;და;MV;passive;123-10;123;*ბაჯბაჯებ
გავჰბაჯბაჯდით;aorist;1;pl;-;გავჰ;ბაჯბაჯ;-;-;დით;MV;passive;123-10;123;*ბარბაც
გავბაჯბაჯდით;aorist;1;pl;-;გავ;ბაჯბაჯ;-;-;დით;MV;passive;123-10;123;*ბარბაც
გამოვჰბაჯბაჯდით;aorist;1;pl;გამო;ვჰ;ბაჯბაჯ;-;-;დით;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯდით;aorist;1;pl;გამო;ვ;ბაჯბაჯ;-;-;დით;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდით;aorist;2;pl;-;გაჰ;ბაჯბაჯ;-;-;დით;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯდით;aorist;2;pl;-;გა;ბაჯბაჯ;-;-;დით;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯდით;aorist;2;pl;გამო;ჰ;ბაჯბაჯ;-;-;დით;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდით;aorist;2;pl;გამო;-;ბაჯბაჯ;-;-;დით;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდენ;aorist;3;pl;-;გაჰ;ბაჯბაჯ;-;-;დენ;MV;passive;123-10;123;*ბარბაც
გაჰბაჯბაჯდნენ;aorist;3;pl;-;გაჰ;ბაჯბაჯ;-;-;დნენ;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდენ;aorist;3;pl;-;გა;ბაჯბაჯ;-;-;დენ;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯდნენ;aorist;3;pl;-;გა;ბაჯბაჯ;-;-;დნენ;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდენ;aorist;3;pl;გამო;ჰ;ბაჯბაჯ;-;-;დენ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯდნენ;aorist;3;pl;გამო;ჰ;ბაჯბაჯ;-;-;დნენ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდენ;aorist;3;pl;გამო;-;ბაჯბაჯ;-;-;დენ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდნენ;aorist;3;pl;გამო;-;ბაჯბაჯ;-;-;დნენ;MV;passive;123-10;123;*ბაჯბაჯებ
გავბაჯბაჯებულვარ;perfect;1;sg;-;გავ;ბაჯბაჯ;ებ;-;ულვარ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯებულვარ;perfect;1;sg;გამო;ვ;ბაჯბაჯ;ებ;-;ულვარ;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯებულხარ;perfect;2;sg;-;გაჰ;ბაჯბაჯ;ებ;-;ულხარ;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯებულხარ;perfect;2;sg;-;გა;ბაჯბაჯ;ებ;-;ულხარ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯებულხარ;perfect;2;sg;გამო;ჰ;ბაჯბაჯ;ებ;-;ულხარ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულხარ;perfect;2;sg;გამო;-;ბაჯბაჯ;ებ;-;ულხარ;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯებულა;perfect;3;sg;-;გაჰ;ბაჯბაჯ;ებ;-;ულა;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯებულა;perfect;3;sg;-;გა;ბაჯბაჯ;ებ;-;ულა;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯებულა;perfect;3;sg;გამო;ჰ;ბაჯბაჯ;ებ;-;ულა;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულა;perfect;3;sg;გამო;-;ბაჯბაჯ;ებ;-;ულა;MV;passive;123-10;123;*ბაჯბაჯებ
გავბაჯბაჯებულვართ;perfect;1;pl;-;გავ;ბაჯბაჯ;ებ;-;ულვართ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯებულვართ;perfect;1;pl;გამო;ვ;ბაჯბაჯ;ებ;-;ულვართ;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯებულხართ;perfect;2;pl;-;გაჰ;ბაჯბაჯ;ებ;-;ულხართ;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯებულხართ;perfect;2;pl;-;გა;ბაჯბაჯ;ებ;-;ულხართ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯებულხართ;perfect;2;pl;გამო;ჰ;ბაჯბაჯ;ებ;-;ულხართ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულხართ;perfect;2;pl;გამო;-;ბაჯბაჯ;ებ;-;ულხართ;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯებულან;perfect;3;pl;-;გაჰ;ბაჯბაჯ;ებ;-;ულან;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯებულან;perfect;3;pl;-;გა;ბაჯბაჯ;ებ;-;ულან;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯებულან;perfect;3;pl;გამო;ჰ;ბაჯბაჯ;ებ;-;ულან;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულან;perfect;3;pl;გამო;-;ბაჯბაჯ;ებ;-;ულან;MV;passive;123-10;123;*ბაჯბაჯებ
გავჰბაჯბაჯდებოდი;conditional;1;sg;-;გავჰ;ბაჯბაჯ;-;-;დებოდი;MV;passive;123-10;123;*ბარბაც
გავბაჯბაჯდებოდი;conditional;1;sg;-;გავ;ბაჯბაჯ;-;-;დებოდი;MV;passive;123-10;123;*ბარბაც
გამოვჰბაჯბაჯდებოდი;conditional;1;sg;გამო;ვჰ;ბაჯბაჯ;-;-;დებოდი;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯდებოდი;conditional;1;sg;გამო;ვ;ბაჯბაჯ;-;-;დებოდი;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდებოდი;conditional;2;sg;-;გაჰ;ბაჯბაჯ;-;-;დებოდი;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდებოდი;conditional;2;sg;-;გა;ბაჯბაჯ;-;-;დებოდი;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდებოდი;conditional;2;sg;გამო;ჰ;ბაჯბაჯ;-;-;დებოდი;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდებოდი;conditional;2;sg;გამო;-;ბაჯბაჯ;-;-;დებოდი;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდებოდა;conditional;3;sg;-;გაჰ;ბაჯბაჯ;-;-;დებოდა;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდებოდა;conditional;3;sg;-;გა;ბაჯბაჯ;-;-;დებოდა;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯდებოდა;conditional;3;sg;გამო;ჰ;ბაჯბაჯ;-;-;დებოდა;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდებოდა;conditional;3;sg;გამო;-;ბაჯბაჯ;-;-;დებოდა;MV;passive;123-10;123;*ბაჯბაჯებ
გავჰბაჯბაჯდებოდით;conditional;1;pl;-;გავჰ;ბაჯბაჯ;-;-;დებოდით;MV;passive;123-10;123;*ბაჯბაჯებ
გავბაჯბაჯდებოდით;conditional;1;pl;-;გავ;ბაჯბაჯ;-;-;დებოდით;MV;passive;123-10;123;*ბარბაც
გამოვჰბაჯბაჯდებოდით;conditional;1;pl;გამო;ვჰ;ბაჯბაჯ;-;-;დებოდით;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯდებოდით;conditional;1;pl;გამო;ვ;ბაჯბაჯ;-;-;დებოდით;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდებოდით;conditional;2;pl;-;გაჰ;ბაჯბაჯ;-;-;დებოდით;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდებოდით;conditional;2;pl;-;გა;ბაჯბაჯ;-;-;დებოდით;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდებოდით;conditional;2;pl;გამო;ჰ;ბაჯბაჯ;-;-;დებოდით;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდებოდით;conditional;2;pl;გამო;-;ბაჯბაჯ;-;-;დებოდით;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდებოდენ;conditional;3;pl;-;გაჰ;ბაჯბაჯ;-;-;დებოდენ;MV;passive;123-10;123;*ბარბაც
გაჰბაჯბაჯდებოდნენ;conditional;3;pl;-;გაჰ;ბაჯბაჯ;-;-;დებოდნენ;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდებოდენ;conditional;3;pl;-;გა;ბაჯბაჯ;-;-;დებოდენ;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯდებოდნენ;conditional;3;pl;-;გა;ბაჯბაჯ;-;-;დებოდნენ;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდებოდენ;conditional;3;pl;გამო;ჰ;ბაჯბაჯ;-;-;დებოდენ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯდებოდნენ;conditional;3;pl;გამო;ჰ;ბაჯბაჯ;-;-;დებოდნენ;MV;passive;123-10;123;*ბარბაც
გამობაჯბაჯდებოდენ;conditional;3;pl;გამო;-;ბაჯბაჯ;-;-;დებოდენ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდებოდნენ;conditional;3;pl;გამო;-;ბაჯბაჯ;-;-;დებოდნენ;MV;passive;123-10;123;*ბაჯბაჯებ
გავჰბაჯბაჯდე;optative;1;sg;-;გავჰ;ბაჯბაჯ;-;-;დე;MV;passive;123-10;123;*ბაჯბაჯებ
გავბაჯბაჯდე;optative;1;sg;-;გავ;ბაჯბაჯ;-;-;დე;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვჰბაჯბაჯდე;optative;1;sg;გამო;ვჰ;ბაჯბაჯ;-;-;დე;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯდე;optative;1;sg;გამო;ვ;ბაჯბაჯ;-;-;დე;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდე;optative;2;sg;-;გაჰ;ბაჯბაჯ;-;-;დე;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯდე;optative;2;sg;-;გა;ბაჯბაჯ;-;-;დე;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯდე;optative;2;sg;გამო;ჰ;ბაჯბაჯ;-;-;დე;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდე;optative;2;sg;გამო;-;ბაჯბაჯ;-;-;დე;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდეს;optative;3;sg;-;გაჰ;ბაჯბაჯ;-;-;დეს;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდეს;optative;3;sg;-;გა;ბაჯბაჯ;-;-;დეს;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდეს;optative;3;sg;გამო;ჰ;ბაჯბაჯ;-;-;დეს;MV;passive;123-10;123;*ბარბაც
გამობაჯბაჯდეს;optative;3;sg;გამო;-;ბაჯბაჯ;-;-;დეს;MV;passive;123-10;123;*ბარბაც
გავჰბაჯბაჯდეთ;optative;1;pl;-;გავჰ;ბაჯბაჯ;-;-;დეთ;MV;passive;123-10;123;*ბაჯბაჯებ
გავბაჯბაჯდეთ;optative;1;pl;-;გავ;ბაჯბაჯ;-;-;დეთ;MV;passive;123-10;123;*ბარბაც
გამოვჰბაჯბაჯდეთ;optative;1;pl;გამო;ვჰ;ბაჯბაჯ;-;-;დეთ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯდეთ;optative;1;pl;გამო;ვ;ბაჯბაჯ;-;-;დეთ;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდეთ;optative;2;pl;-;გაჰ;ბაჯბაჯ;-;-;დეთ;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯდეთ;optative;2;pl;-;გა;ბაჯბაჯ;-;-;დეთ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯდეთ;optative;2;pl;გამო;ჰ;ბაჯბაჯ;-;-;დეთ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდეთ;optative;2;pl;გამო;-;ბაჯბაჯ;-;-;დეთ;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდენ;optative;3;pl;-;გაჰ;ბაჯბაჯ;-;-;დენ;MV;passive;123-10;123;*ბარბაც
გაჰბაჯბაჯდნენ;optative;3;pl;-;გაჰ;ბაჯბაჯ;-;-;დნენ;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდენ;optative;3;pl;-;გა;ბაჯბაჯ;-;-;დენ;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდნენ;optative;3;pl;-;გა;ბაჯბაჯ;-;-;დნენ;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდენ;optative;3;pl;გამო;ჰ;ბაჯბაჯ;-;-;დენ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯდნენ;optative;3;pl;გამო;ჰ;ბაჯბაჯ;-;-;დნენ;MV;passive;123-10;123;*ბარბაც
გამობაჯბაჯდენ;optative;3;pl;გამო;-;ბაჯბაჯ;-;-;დენ;MV;passive;123-10;123;*ბარბაც
გამობაჯბაჯდნენ;optative;3;pl;გამო;-;ბაჯბაჯ;-;-;დნენ;MV;passive;123-10;123;*ბარბაც
გავბაჯბაჯებულიყავ;pluperfect;1;sg;-;გავ;ბაჯბაჯ;ებ;-;ულიყავ;MV;passive;123-10;123;*ბაჯბაჯებ
გავბაჯბაჯებულიყავი;pluperfect;1;sg;-;გავ;ბაჯბაჯ;ებ;-;ულიყავი;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯებულიყავ;pluperfect;1;sg;გამო;ვ;ბაჯბაჯ;ებ;-;ულიყავ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯებულიყავი;pluperfect;1;sg;გამო;ვ;ბაჯბაჯ;ებ;-;ულიყავი;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯებულიყავ;pluperfect;2;sg;-;გაჰ;ბაჯბაჯ;ებ;-;ულიყავ;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯებულიყავი;pluperfect;2;sg;-;გაჰ;ბაჯბაჯ;ებ;-;ულიყავი;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯებულიყავ;pluperfect;2;sg;-;გა;ბაჯბაჯ;ებ;-;ულიყავ;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯებულიყავი;pluperfect;2;sg;-;გა;ბაჯბაჯ;ებ;-;ულიყავი;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯებულიყავ;pluperfect;2;sg;გამო;ჰ;ბაჯბაჯ;ებ;-;ულიყავ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯებულიყავი;pluperfect;2;sg;გამო;ჰ;ბაჯბაჯ;ებ;-;ულიყავი;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულიყავ;pluperfect;2;sg;გამო;-;ბაჯბაჯ;ებ;-;ულიყავ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულიყავი;pluperfect;2;sg;გამო;-;ბაჯბაჯ;ებ;-;ულიყავი;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯებულიყო;pluperfect;3;sg;-;გაჰ;ბაჯბაჯ;ებ;-;ულიყო;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯებულიყო;pluperfect;3;sg;-;გა;ბაჯბაჯ;ებ;-;ულიყო;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯებულიყო;pluperfect;3;sg;გამო;ჰ;ბაჯბაჯ;ებ;-;ულიყო;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულიყო;pluperfect;3;sg;გამო;-;ბაჯბაჯ;ებ;-;ულიყო;MV;passive;123-10;123;*ბაჯბაჯებ
გავბაჯბაჯებულიყავით;pluperfect;1;pl;-;გავ;ბაჯბაჯ;ებ;-;ულიყავით;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯებულიყავით;pluperfect;1;pl;გამო;ვ;ბაჯბაჯ;ებ;-;ულიყავით;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯებულიყავით;pluperfect;2;pl;-;გაჰ;ბაჯბაჯ;ებ;-;ულიყავით;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯებულიყავით;pluperfect;2;pl;-;გა;ბაჯბაჯ;ებ;-;ულიყავით;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯებულიყავით;pluperfect;2;pl;გამო;ჰ;ბაჯბაჯ;ებ;-;ულიყავით;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულიყავით;pluperfect;2;pl;გამო;-;ბაჯბაჯ;ებ;-;ულიყავით;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯებულიყვენ;pluperfect;3;pl;-;გაჰ;ბაჯბაჯ;ებ;-;ულიყვენ;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯებულიყვნენ;pluperfect;3;pl;-;გაჰ;ბაჯბაჯ;ებ;-;ულიყვნენ;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯებულიყვენ;pluperfect;3;pl;-;გა;ბაჯბაჯ;ებ;-;ულიყვენ;MV;passive;123-10;123;*ბაჯბაჯებ
გაბაჯბაჯებულიყვნენ;pluperfect;3;pl;-;გა;ბაჯბაჯ;ებ;-;ულიყვნენ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯებულიყვენ;pluperfect;3;pl;გამო;ჰ;ბაჯბაჯ;ებ;-;ულიყვენ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოჰბაჯბაჯებულიყვნენ;pluperfect;3;pl;გამო;ჰ;ბაჯბაჯ;ებ;-;ულიყვნენ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულიყვენ;pluperfect;3;pl;გამო;-;ბაჯბაჯ;ებ;-;ულიყვენ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯებულიყვნენ;pluperfect;3;pl;გამო;-;ბაჯბაჯ;ებ;-;ულიყვნენ;MV;passive;123-10;123;*ბაჯბაჯებ
გავჰბაჯბაჯდებოდე;conj-future;1;sg;-;გავჰ;ბაჯბაჯ;-;-;დებოდე;MV;passive;123-10;123;*ბარბაც
გავბაჯბაჯდებოდე;conj-future;1;sg;-;გავ;ბაჯბაჯ;-;-;დებოდე;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვჰბაჯბაჯდებოდე;conj-future;1;sg;გამო;ვჰ;ბაჯბაჯ;-;-;დებოდე;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯდებოდე;conj-future;1;sg;გამო;ვ;ბაჯბაჯ;-;-;დებოდე;MV;passive;123-10;123;*ბარბაც
გაჰბაჯბაჯდებოდე;conj-future;2;sg;-;გაჰ;ბაჯბაჯ;-;-;დებოდე;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდებოდე;conj-future;2;sg;-;გა;ბაჯბაჯ;-;-;დებოდე;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდებოდე;conj-future;2;sg;გამო;ჰ;ბაჯბაჯ;-;-;დებოდე;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდებოდე;conj-future;2;sg;გამო;-;ბაჯბაჯ;-;-;დებოდე;MV;passive;123-10;123;*ბაჯბაჯებ
გაჰბაჯბაჯდებოდეს;conj-future;3;sg;-;გაჰ;ბაჯბაჯ;-;-;დებოდეს;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდებოდეს;conj-future;3;sg;-;გა;ბაჯბაჯ;-;-;დებოდეს;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდებოდეს;conj-future;3;sg;გამო;ჰ;ბაჯბაჯ;-;-;დებოდეს;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდებოდეს;conj-future;3;sg;გამო;-;ბაჯბაჯ;-;-;დებოდეს;MV;passive;123-10;123;*ბაჯბაჯებ
გავჰბაჯბაჯდებოდეთ;conj-future;1;pl;-;გავჰ;ბაჯბაჯ;-;-;დებოდეთ;MV;passive;123-10;123;*ბაჯბაჯებ
გავბაჯბაჯდებოდეთ;conj-future;1;pl;-;გავ;ბაჯბაჯ;-;-;დებოდეთ;MV;passive;123-10;123;*ბარბაც
გამოვჰბაჯბაჯდებოდეთ;conj-future;1;pl;გამო;ვჰ;ბაჯბაჯ;-;-;დებოდეთ;MV;passive;123-10;123;*ბაჯბაჯებ
გამოვბაჯბაჯდებოდეთ;conj-future;1;pl;გამო;ვ;ბაჯბაჯ;-;-;დებოდეთ;MV;passive;123-10;123;*ბარბაც
გაჰბაჯბაჯდებოდეთ;conj-future;2;pl;-;გაჰ;ბაჯბაჯ;-;-;დებოდეთ;MV;passive;123-10;123;*ბარბაც
გაბაჯბაჯდებოდეთ;conj-future;2;pl;-;გა;ბაჯბაჯ;-;-;დებოდეთ;MV;passive;123-10;123;*ბარბაც
გამოჰბაჯბაჯდებოდეთ;conj-future;2;pl;გამო;ჰ;ბაჯბაჯ;-;-;დებოდეთ;MV;passive;123-10;123;*ბაჯბაჯებ
გამობაჯბაჯდებოდეთ;conj-future;2;pl;გამო;-;ბაჯბაჯ;-;-;დებოდეთ;MV;passive;123-10;123;*ბაჯბაჯებ
